Reference, Quantity, Value, PartNumber,Notes
C1 ,1,10nF,C0805C103K5RAC7210,
C12 C13 C2 C4 C7 C11 C8 C10 C9 C16 ,10,100nF,C0805C104M5RACTU,
C14 C15 C6 C5 C3 ,5,4.7uF,GRM219R61E475MA73D,
C17 C18 ,2,22uF,GRM21BR61A226ME51L,
D1 D2 D3 D4 ,4,BLUE,APT2012LVBC/D,
D10 ,1,GREEN,LTST-C170KGKT,
D11 D12 ,2,YELLOW,LY R976-PS-36,
D6 D5 D8 D7 ,4,RED,LH R974-LP-1,
D9 ,1,BAT54C,BAT54C,
FB1 ,1,MPZ2012S101AT000,MPZ2012S101AT000,
J1 ,1,6.29105E+11,6.29105E+11,
J2 ,1,Conn_01x04_Male,B4B-XH-A(LF)(SN),
J4 J3 ,2,BM06B-SRSS-TB,BM06B-SRSS-TB(LF)(SN),
L1 ,1,"33uH, 1.7A",SRN8040-330M,
Q1 Q2 ,2,FDV301N,FDV301N,
R13 R14 R15 R23 R24 R25 ,6,33k,RC0805FR-0733KL,
R2 R3 R4 R5 ,4,56R,RC0805FR-0756RL,
R22 R30 R26 R27 ,4,10k,RNCP0805FTD10K0CT-ND,
R31 R32 ,2,0R22,KRL1632E-M-R220-F-T5,
R7 R16 R17 R6 R9 R8 R10 R11 R12 R19 R20 R21 R28 R29 R18 ,15,100R,RC0805FR-07100RL,
RN1 ,1,27R,EXB-V4V270JV,
SW1 SW2 ,2,1825910-6,1825910-6,
U1 U2 U3 U6 U7 U8 ,6,QRE1113GR,QRE1113GR,
U10 U11 ,2,DRV8872DDA,DRV8872DDA,
U4 ,1,ADP2302ARDZ-3.3,ADP2302ARDZ-3.3,
U5 ,1,FT230XS,FT230XS,
U9 ,1,ESP32-WROOM-32D,ESP32-WROOM-32D,
H1 H2,2,Motor Cable,A06SR06SR30K51B,
M1 M2,2,Pololu Motor 12V 650RPM,3050,
E1,1,Pololu Encoder pair,4761,
W1 W2,2,Wheels,,Order from https://www.aliexpress.com/item/32854636812.html
S1 S2,2,Ball Screw M4x16mm,,Order from https://www.aliexpress.com/item/4000370370791.html
B1,1,3S 500mAh LIPO Battery,,Order from https://hobbyking.com/en_us/zippy-compact-500mah-3s-25c-lipo-pack.html
